RXDDRGID,RXDDRUG,RXDINGFL,RXDDCI1A,RXDDCI1B,RXDDCI1C,RXDDCI2A,RXDDCI2B,RXDDCI2C,RXDDCI3A,RXDDCI3B,RXDDCI3C,RXDDCI4A,RXDDCI4B,RXDDCI4C,RXDICI1A,RXDICI1B,RXDICI1C,RXDICI2A,RXDICI2B,RXDICI2C,RXDICI3A,RXDICI3B,RXDICI3C,RXDICI4A,RXDICI4B,RXDICI4C,RXDICI5A,RXDICI5B,RXDICI5C,RXDICI6A,RXDICI6B,RXDICI6C,RXDDCN1A,RXDDCN1B,RXDDCN1C,RXDDCN2A,RXDDCN2B,RXDDCN2C,RXDDCN3A,RXDDCN3B,RXDDCN3C,RXDDCN4A,RXDDCN4B,RXDDCN4C,RXDICN1A,RXDICN1B,RXDICN1C,RXDICN2A,RXDICN2B,RXDICN2C,RXDICN3A,RXDICN3B,RXDICN3C,RXDICN4A,RXDICN4B,RXDICN4C,RXDICN5A,RXDICN5B,RXDICN5C,RXDICN6A,RXDICN6B,RXDICN6C
b'd00068',b'ETHAMBUTOL',1.0,1.0,6.0,234.0,,,,,,,,,,1.0,6.0,234.0,,,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'ANTITUBERCULOSIS AGENTS',b'MISCELLANEOUS ANTITUBERCULOSIS AGENTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'ANTITUBERCULOSIS AGENTS',b'MISCELLANEOUS ANTITUBERCULOSIS AGENTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00069',b'TOBRAMYCIN',1.0,1.0,18.0,,122.0,130.0,407.0,,,,,,,1.0,18.0,,122.0,130.0,407.0,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'AMINOGLYCOSIDES',b'',b'RESPIRATORY AGENTS',b'RESPIRATORY INHALANT PRODUCTS',b'INHALED ANTI-INFECTIVES',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'AMINOGLYCOSIDES',b'',b'RESPIRATORY AGENTS',b'RESPIRATORY INHALANT PRODUCTS',b'INHALED ANTI-INFECTIVES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00070',b'FUROSEMIDE',1.0,40.0,49.0,154.0,,,,,,,,,,40.0,49.0,154.0,,,,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',b'DIURETICS',b'LOOP DIURETICS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',b'DIURETICS',b'LOOP DIURETICS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00071',b'FLUCONAZOLE',1.0,1.0,4.0,236.0,,,,,,,,,,1.0,4.0,236.0,,,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'ANTIFUNGALS',b'AZOLE ANTIFUNGALS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'ANTIFUNGALS',b'AZOLE ANTIFUNGALS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00072',b'CEFIXIME',1.0,1.0,9.0,161.0,,,,,,,,,,1.0,9.0,161.0,,,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'CEPHALOSPORINS',b'THIRD GENERATION CEPHALOSPORINS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'CEPHALOSPORINS',b'THIRD GENERATION CEPHALOSPORINS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00073',b'CEFPROZIL',1.0,1.0,9.0,160.0,,,,,,,,,,1.0,9.0,160.0,,,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'CEPHALOSPORINS',b'SECOND GENERATION CEPHALOSPORINS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'CEPHALOSPORINS',b'SECOND GENERATION CEPHALOSPORINS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00074',b'CEFOPERAZONE',1.0,1.0,9.0,161.0,,,,,,,,,,1.0,9.0,161.0,,,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'CEPHALOSPORINS',b'THIRD GENERATION CEPHALOSPORINS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'CEPHALOSPORINS',b'THIRD GENERATION CEPHALOSPORINS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00075',b'PROCAINAMIDE',1.0,40.0,46.0,385.0,,,,,,,,,,40.0,46.0,385.0,,,,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',b'ANTIARRHYTHMIC AGENTS',b'GROUP I ANTIARRHYTHMICS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',b'ANTIARRHYTHMIC AGENTS',b'GROUP I ANTIARRHYTHMICS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00078',b'DIDANOSINE',1.0,1.0,7.0,176.0,,,,,,,,,,1.0,7.0,176.0,,,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'ANTIVIRAL AGENTS',b'NRTIS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'ANTIVIRAL AGENTS',b'NRTIS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00079',b'CYCLOSPORINE',1.0,254.0,104.0,441.0,,,,,,,,,,254.0,104.0,441.0,,,,,,,,,,,,,,,,b'IMMUNOLOGIC AGENTS',b'IMMUNOSUPPRESSIVE AGENTS',b'CALCINEURIN INHIBITORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'IMMUNOLOGIC AGENTS',b'IMMUNOSUPPRESSIVE AGENTS',b'CALCINEURIN INHIBITORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00080',b'CEFADROXIL',1.0,1.0,9.0,159.0,,,,,,,,,,1.0,9.0,159.0,,,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'CEPHALOSPORINS',b'FIRST GENERATION CEPHALOSPORINS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'CEPHALOSPORINS',b'FIRST GENERATION CEPHALOSPORINS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00081',b'CEFACLOR',1.0,1.0,9.0,160.0,,,,,,,,,,1.0,9.0,160.0,,,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'CEPHALOSPORINS',b'SECOND GENERATION CEPHALOSPORINS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'CEPHALOSPORINS',b'SECOND GENERATION CEPHALOSPORINS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00083',b'VALPROIC ACID',1.0,57.0,64.0,345.0,,,,,,,,,,57.0,64.0,345.0,,,,,,,,,,,,,,,,b'CENTRAL NERVOUS SYSTEM AGENTS',b'ANTICONVULSANTS',b'FATTY ACID DERIVATIVE ANTICONVULSANTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CENTRAL NERVOUS SYSTEM AGENTS',b'ANTICONVULSANTS',b'FATTY ACID DERIVATIVE ANTICONVULSANTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00084',b'PREDNISOLONE',1.0,97.0,98.0,301.0,,,,,,,,,,97.0,98.0,301.0,,,,,,,,,,,,,,,,b'HORMONES/HORMONE MODIFIERS',b'ADRENAL CORTICAL STEROIDS',b'GLUCOCORTICOIDS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'HORMONES/HORMONE MODIFIERS',b'ADRENAL CORTICAL STEROIDS',b'GLUCOCORTICOIDS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00085',b'RIBAVIRIN',1.0,1.0,7.0,229.0,122.0,130.0,407.0,,,,,,,1.0,7.0,229.0,122.0,130.0,407.0,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'ANTIVIRAL AGENTS',b'PURINE NUCLEOSIDES',b'RESPIRATORY AGENTS',b'RESPIRATORY INHALANT PRODUCTS',b'INHALED ANTI-INFECTIVES',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'ANTIVIRAL AGENTS',b'PURINE NUCLEOSIDES',b'RESPIRATORY AGENTS',b'RESPIRATORY INHALANT PRODUCTS',b'INHALED ANTI-INFECTIVES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00086',b'AMANTADINE',1.0,1.0,7.0,228.0,57.0,66.0,276.0,,,,,,,1.0,7.0,228.0,57.0,66.0,276.0,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'ANTIVIRAL AGENTS',b'ADAMANTANE ANTIVIRALS',b'CENTRAL NERVOUS SYSTEM AGENTS',b'ANTIPARKINSON AGENTS',b'DOPAMINERGIC ANTIPARKINSONISM AGENTS',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'ANTIVIRAL AGENTS',b'ADAMANTANE ANTIVIRALS',b'CENTRAL NERVOUS SYSTEM AGENTS',b'ANTIPARKINSON AGENTS',b'DOPAMINERGIC ANTIPARKINSONISM AGENTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00087',b'AMIKACIN',1.0,1.0,18.0,,,,,,,,,,,1.0,18.0,,,,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'AMINOGLYCOSIDES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'AMINOGLYCOSIDES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00088',b'AMOXICILLIN',1.0,1.0,13.0,224.0,,,,,,,,,,1.0,13.0,224.0,,,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'PENICILLINS',b'AMINOPENICILLINS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'PENICILLINS',b'AMINOPENICILLINS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00089',b'AMOXICILLIN; CLAVULANATE',2.0,1.0,13.0,225.0,,,,,,,,,,1.0,13.0,224.0,1.0,13.0,225.0,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'PENICILLINS',b'PENICILLINS/BETA-LACTAMASE INHIBITORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'PENICILLINS',b'AMINOPENICILLINS',b'ANTI-INFECTIVES',b'PENICILLINS',b'PENICILLINS/BETA-LACTAMASE INHIBITORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00091',b'AZITHROMYCIN',1.0,1.0,11.0,304.0,,,,,,,,,,1.0,11.0,304.0,,,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'MACROLIDE DERIVATIVES',b'MACROLIDES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'MACROLIDE DERIVATIVES',b'MACROLIDES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00095',b'CEFPODOXIME',1.0,1.0,9.0,161.0,,,,,,,,,,1.0,9.0,161.0,,,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'CEPHALOSPORINS',b'THIRD GENERATION CEPHALOSPORINS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'CEPHALOSPORINS',b'THIRD GENERATION CEPHALOSPORINS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00096',b'CEPHALEXIN',1.0,1.0,9.0,159.0,,,,,,,,,,1.0,9.0,159.0,,,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'CEPHALOSPORINS',b'FIRST GENERATION CEPHALOSPORINS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'CEPHALOSPORINS',b'FIRST GENERATION CEPHALOSPORINS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00097',b'CLARITHROMYCIN',1.0,1.0,11.0,304.0,,,,,,,,,,1.0,11.0,304.0,,,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'MACROLIDE DERIVATIVES',b'MACROLIDES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'MACROLIDE DERIVATIVES',b'MACROLIDES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00098',b'DAPSONE',1.0,1.0,10.0,,,,,,,,,,,1.0,10.0,,,,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'LEPROSTATICS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'LEPROSTATICS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00100',b'GRISEOFULVIN',1.0,1.0,4.0,237.0,,,,,,,,,,1.0,4.0,237.0,,,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'ANTIFUNGALS',b'MISCELLANEOUS ANTIFUNGALS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'ANTIFUNGALS',b'MISCELLANEOUS ANTIFUNGALS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00101',b'ISONIAZID',1.0,1.0,6.0,457.0,,,,,,,,,,1.0,6.0,457.0,,,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'ANTITUBERCULOSIS AGENTS',b'HYDRAZIDE DERIVATIVES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'ANTITUBERCULOSIS AGENTS',b'HYDRAZIDE DERIVATIVES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00102',b'ITRACONAZOLE',1.0,1.0,4.0,236.0,,,,,,,,,,1.0,4.0,236.0,,,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'ANTIFUNGALS',b'AZOLE ANTIFUNGALS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'ANTIFUNGALS',b'AZOLE ANTIFUNGALS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00103',b'KETOCONAZOLE',1.0,1.0,4.0,236.0,,,,,,,,,,1.0,4.0,236.0,,,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'ANTIFUNGALS',b'AZOLE ANTIFUNGALS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'ANTIFUNGALS',b'AZOLE ANTIFUNGALS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00105',b'LORACARBEF',1.0,1.0,9.0,160.0,,,,,,,,,,1.0,9.0,160.0,,,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'CEPHALOSPORINS',b'SECOND GENERATION CEPHALOSPORINS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'CEPHALOSPORINS',b'SECOND GENERATION CEPHALOSPORINS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00106',b'METHENAMINE',1.0,1.0,17.0,,,,,,,,,,,1.0,17.0,,,,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'URINARY ANTI-INFECTIVES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'URINARY ANTI-INFECTIVES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00108',b'METRONIDAZOLE',1.0,1.0,2.0,,1.0,12.0,,,,,,,,1.0,2.0,,1.0,12.0,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'AMEBICIDES',b'',b'ANTI-INFECTIVES',b'MISCELLANEOUS ANTIBIOTICS',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'AMEBICIDES',b'',b'ANTI-INFECTIVES',b'MISCELLANEOUS ANTIBIOTICS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00110',b'MINOCYCLINE',1.0,1.0,16.0,,,,,,,,,,,1.0,16.0,,,,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'TETRACYCLINES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'TETRACYCLINES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00112',b'NITROFURANTOIN',1.0,1.0,17.0,,,,,,,,,,,1.0,17.0,,,,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'URINARY ANTI-INFECTIVES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'URINARY ANTI-INFECTIVES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00113',b'NORFLOXACIN',1.0,1.0,14.0,,,,,,,,,,,1.0,14.0,,,,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'QUINOLONES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'QUINOLONES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00114',b'OFLOXACIN',1.0,1.0,14.0,,,,,,,,,,,1.0,14.0,,,,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'QUINOLONES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'QUINOLONES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00115',b'OXACILLIN',1.0,1.0,13.0,222.0,,,,,,,,,,1.0,13.0,222.0,,,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'PENICILLINS',b'PENICILLINASE RESISTANT PENICILLINS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'PENICILLINS',b'PENICILLINASE RESISTANT PENICILLINS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00116',b'PENICILLIN',1.0,1.0,13.0,226.0,,,,,,,,,,1.0,13.0,226.0,,,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'PENICILLINS',b'NATURAL PENICILLINS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'PENICILLINS',b'NATURAL PENICILLINS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00117',b'PYRAZINAMIDE',1.0,1.0,6.0,234.0,,,,,,,,,,1.0,6.0,234.0,,,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'ANTITUBERCULOSIS AGENTS',b'MISCELLANEOUS ANTITUBERCULOSIS AGENTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'ANTITUBERCULOSIS AGENTS',b'MISCELLANEOUS ANTITUBERCULOSIS AGENTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00119',b'SULFAMETHOXAZOLE',1.0,1.0,15.0,,,,,,,,,,,1.0,15.0,,,,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'SULFONAMIDES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'SULFONAMIDES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00120',b'SULFISOXAZOLE',1.0,1.0,15.0,,,,,,,,,,,1.0,15.0,,,,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'SULFONAMIDES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'SULFONAMIDES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00123',b'TRIMETHOPRIM',1.0,1.0,17.0,,,,,,,,,,,1.0,17.0,,,,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'URINARY ANTI-INFECTIVES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'URINARY ANTI-INFECTIVES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00124',b'SULFAMETHOXAZOLE; TRIMETHOPRIM',2.0,1.0,15.0,,,,,,,,,,,1.0,15.0,,1.0,17.0,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'SULFONAMIDES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'SULFONAMIDES',b'',b'ANTI-INFECTIVES',b'URINARY ANTI-INFECTIVES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00125',b'VANCOMYCIN',1.0,1.0,406.0,,,,,,,,,,,1.0,406.0,,,,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'GLYCOPEPTIDE ANTIBIOTICS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'GLYCOPEPTIDE ANTIBIOTICS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00127',b'ZALCITABINE',1.0,1.0,7.0,176.0,,,,,,,,,,1.0,7.0,176.0,,,,,,,,,,,,,,,,b'ANTI-INFECTIVES',b'ANTIVIRAL AGENTS',b'NRTIS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'ANTI-INFECTIVES',b'ANTIVIRAL AGENTS',b'NRTIS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00128',b'ACEBUTOLOL',1.0,40.0,46.0,386.0,40.0,47.0,274.0,,,,,,,40.0,46.0,386.0,40.0,47.0,274.0,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',b'ANTIARRHYTHMIC AGENTS',b'GROUP II ANTIARRHYTHMICS',b'CARDIOVASCULAR AGENTS',b'BETA-ADRENERGIC BLOCKING AGENTS',"b'BETA BLOCKERS, CARDIOSELECTIVE'",b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',b'ANTIARRHYTHMIC AGENTS',b'GROUP II ANTIARRHYTHMICS',b'CARDIOVASCULAR AGENTS',b'BETA-ADRENERGIC BLOCKING AGENTS',"b'BETA BLOCKERS, CARDIOSELECTIVE'",b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00129',b'DIAZOXIDE',1.0,40.0,41.0,,358.0,293.0,,,,,,,,40.0,41.0,,358.0,293.0,,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',b'AGENTS FOR HYPERTENSIVE EMERGENCIES',b'',b'METABOLIC AGENTS',b'GLUCOSE ELEVATING AGENTS',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',b'AGENTS FOR HYPERTENSIVE EMERGENCIES',b'',b'METABOLIC AGENTS',b'GLUCOSE ELEVATING AGENTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00130',b'GUANABENZ',1.0,40.0,44.0,,,,,,,,,,,40.0,44.0,,,,,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',"b'ANTIADRENERGIC AGENTS, CENTRALLY ACTING'",b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',"b'ANTIADRENERGIC AGENTS, CENTRALLY ACTING'",b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00131',b'GUANETHIDINE',1.0,40.0,43.0,,,,,,,,,,,40.0,43.0,,,,,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',"b'ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING'",b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',"b'ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING'",b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00132',b'HYDRALAZINE',1.0,40.0,53.0,,,,,,,,,,,40.0,53.0,,,,,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',b'VASODILATORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',b'VASODILATORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00133',b'METHYLDOPA',1.0,40.0,44.0,,,,,,,,,,,40.0,44.0,,,,,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',"b'ANTIADRENERGIC AGENTS, CENTRALLY ACTING'",b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',"b'ANTIADRENERGIC AGENTS, CENTRALLY ACTING'",b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00134',b'METOPROLOL',1.0,40.0,47.0,274.0,,,,,,,,,,40.0,47.0,274.0,,,,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',b'BETA-ADRENERGIC BLOCKING AGENTS',"b'BETA BLOCKERS, CARDIOSELECTIVE'",b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',b'BETA-ADRENERGIC BLOCKING AGENTS',"b'BETA BLOCKERS, CARDIOSELECTIVE'",b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00135',b'MINOXIDIL',1.0,40.0,53.0,,,,,,,,,,,40.0,53.0,,,,,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',b'VASODILATORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',b'VASODILATORS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00137',b'PINDOLOL',1.0,40.0,47.0,275.0,,,,,,,,,,40.0,47.0,275.0,,,,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',b'BETA-ADRENERGIC BLOCKING AGENTS',"b'BETA BLOCKERS, NON-CARDIOSELECTIVE'",b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',b'BETA-ADRENERGIC BLOCKING AGENTS',"b'BETA BLOCKERS, NON-CARDIOSELECTIVE'",b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
b'd00138',b'PRAZOSIN',1.0,40.0,43.0,,,,,,,,,,,40.0,43.0,,,,,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',"b'ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING'",b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',"b'ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING'",b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
